title,date,castings,url_castings,trailer,synopsis,poster,coming_soon
รักนี้ไม่มีโรมิโอ No Romeo Series,2024,,,,ความรักมีหลายทางเลือก ในทุก ๆ ทางเลือกนั้น เราต้องการให้ทุกคนยอมรับ.. สังกัด : ช่อง ONE31 #NoRomeoSeries #รักนี้ไม่มีโรมิโอ,https://yflix.me/wp-content/uploads/2024/10/463602622_1076430734491516_2302780712384795101_n.jpg,False
THE WICKED GAME,2024,,,,THE WICKED GAME TRUST IS A LUXURY. DECEPTION IS A GAME. ช่อง one31 สานต่อความสำเร็จต้าห์อู๋ออฟโรด จาก Century Of Love ด้วยซีรี่ส์เรื่องใหม่ ที่มาพร้อมกับคาร์เรกเตอร์สุดกร๊าวใจ ของต้าห์อู๋ในบทบาทบอดี้การ์ด และออฟโรดในบทของเจ้านาย เจอกันเร็วๆ นี้ในปี 2025 แน่นอน! สังกัด : ช่อง ONE31 #TheWickedGameSeries ,https://yflix.me/wp-content/uploads/2024/10/ปกซีรีส์-1.jpg,True
สลักรักในแสงจันทร์,2024,,,,เมื่อการแต่งงาน คือทางรอดเดียวที่จะรักษาวงศ์ตระกูล.. นำไปสู่ความสัมพันธ์ที่ “เขา” ต้องเลือกระหว่าง หน้าที่ และ หัวใจ เรื่องราวความรักที่ยากเกินคาดเดานี้ จะดำเนินต่อไปอย่างไร? สังกัด : ช่อง ONE31 #สลักรักในแสงจันทร์ ,https://yflix.me/wp-content/uploads/2024/10/ปกซีรีส์.jpg,False
ไหนเฮียบอกไม่ชอบเด็ก,2025,"โอ๊ต ภาสกร สารรัตนะ, ยุ่น ภูษณุ วงศาวณิชชากร","https://yflix.me/casting/%e0%b9%82%e0%b8%ad%e0%b9%8a%e0%b8%95-%e0%b8%a0%e0%b8%b2%e0%b8%aa%e0%b8%81%e0%b8%a3-%e0%b8%aa%e0%b8%b2%e0%b8%a3%e0%b8%a3%e0%b8%b1%e0%b8%95%e0%b8%99%e0%b8%b0/, https://yflix.me/casting/%e0%b8%a2%e0%b8%b8%e0%b9%88%e0%b8%99-%e0%b8%a0%e0%b8%b9%e0%b8%a9%e0%b8%93%e0%b8%b8-%e0%b8%a7%e0%b8%87%e0%b8%a8%e0%b8%b2%e0%b8%a7%e0%b8%93%e0%b8%b4%e0%b8%8a%e0%b8%8a%e0%b8%b2%e0%b8%81%e0%b8%a3/",,รักของเรา จะเป็นไปได้ไหม? จากนิยายดังกว่า 2.9 ล้าน Views ใน ReadAWrite เจ้าของนามปากกา ‘นางสาวผอบ’ สู่ซีรีส์ในจอกับเรื่อง “ไหนเฮียบอกไม่ชอบเด็ก” รอติดตาม “ไหนเฮียบอกไม่ชอบเด็ก” เร็วๆนี้ ทาง MFlow Entertainment นำแสดงโดย ยุ่น ภูษณุ รับบท เฮียไท ปันปัน ปัณณ์ รับบท เฮียแชมป์ โบ๊ท ยงค์ยุทธ รับบท เฮียศร โอ๊ต ภาสกร รับบท จวิ้น มิเชล เบอร์แมน รับบท เพนนี ปอย เฌอลินณ์ รับบท จูน สังกัด : Mflow Entertainment เร็วๆ นี้,https://yflix.me/wp-content/uploads/2024/10/GlbPn3lbwAAm8xA.jpg,True
ทุกๆเธอที่รัก Every you Every me The Series,2024,,,https://www.youtube.com/embed/dwJZ9E5R4B8?si=VSpyFJWAmNKlZbdC,เขาว่ากันว่าเนื้อคู่จะมาพร้อมกับฝน!? คุณพร้อมแล้วหรือยัง? ที่จะให้ฝนตกท่ามกลางหัวใจคุณ ☔️💗 แล้วพวกเขาจะใช่เนื้อคู่ที่ตามหาหรือไม่ ? นำแสดงโดย ท๊อป ปิยวัฒน์ มิก มณฑล เจีย ธีรภัทร์ พรีม พีรทัต ทวิ ทวิชัย เซอร์ไพรส์ กลวัชร เฟียต ภัชทา สังกัด : GMM25 ออกอากาศทุกวันอาทิตย์ เวลา 22:30 น. ทางช่อง GMM25 รับชมย้อนหลัง เวลา 23.30 น. ทาง WeTV เริ่มตอนแรกวันอาทิตย์ที่ 6 ตุลาคมนี้ #ทุกๆเธอที่รัก #EveryUTheSeries,https://yflix.me/wp-content/uploads/2024/10/GYAKvBNb0AMjgiN.jpg,False
Bad Guy My Boss เจ้านายร้ายรัก,2024,,,https://www.youtube.com/embed/e9O_URAa1IY?si=H-QUBtVAVbOHTbDh,“Bad Guy My Boss เจ้านายร้ายรัก” เป็นเรื่องราวของ เอรีส(เจมส์ เฮย์วอร์ด) บอสหนุ่มเจ้าอารมณ์ นักธุรกิจหนุ่มไฟแรงเจ้าของธุรกิจอสังหาที่กำลังเป็นที่พูดถึงในวงการ เขาไม่เคยศรัทธาในความรัก และทำให้เขาเลือกที่จะมี “คู่ขา” มากกว่าคนรู้ใจ ครั้นเมื่อ ปัถย์(กาด พลอยสุภา) เลขาหนุ่มที่อยู่ข้างกายเขามาตลอด เลือกที่จะ “ลาออก” เหตุเพราะมิอาจห้ามหัวใจไม่ให้ตกหลุมพรางของบอสอารมณ์ร้ายได้ เอรีสจึงต้องพยายามงัดทุกกลเม็ดเพื่อยื้อปัถย์เอาไว้ ท่ามกลางสงครามทางธุรกิจที่มีศัตรูหัวใจเป็นคู่ต่อสู้ และหนอนบ่อนไส้ที่พยายามทำลายธุรกิจ ความรักของบอสหนุ่มกับเลขาหน้าใสนี้จะลงเอยอย่างไร ติดตามได้ในซีรีส์เรื่องนี้ สังกัด : RS MULTI MEDIA & Entertainment ทุกวันอาทิตย์ เวลา 22.15 น. ทางช่อง8กดเลข27 รับชมย้อนหลังได้ทาง Viu เริ่มตอนแรก 15 กันยายน 2024 ,https://yflix.me/wp-content/uploads/2024/08/GV5tWefbkAARAse.jpg,False
ล้านวงโคจร Reverse With Me The Series,2025,,,,ในโลกที่ความฝันกระซิบบอกความจริง “การันต์” และ “เกลียวคลื่น” สองคนที่ตกหลุมรักกันตั้งแต่ใน “ความฝัน” ต้องเผชิญหน้ากับความโหดร้ายของโชคชะตา เพื่อรักษาชีวิตหนึ่งไว้จึงต้อง “ย้อนเวลากลับไปแก้ไขอดีต” แต่ทุกการเปลี่ยนแปลงล้วนมีราคาที่ต้องจ่าย ทุกก้าวที่พวกเขาก้าวสู่เส้นทางแห่งอดีตนั้น นำไปสู่ความจริงที่พวกเขาไม่อาจหลีกหนี และบางบาดแผลไม่อาจรักษาได้ด้วยเวลาเพียงอย่างเดียว ท่ามกลางกระแสแห่งกาลเวลาที่ไม่หยุดนิ่ง หัวใจของ “การันต์” และ “เกลียวคลื่น” ยังคงเต้นอยู่ในความเงียบสงัด พวกเขาต้องเผชิญหน้ากับนิมิตปริศนาที่ลึกล้ำและยากเกินจะรับมือ ปริศนาที่อาจกลืนกินความรักของพวกเขาจนหมดสิ้น แต่พวกเขายังมุ่งหน้าไปข้างหน้า สืบค้นคำตอบของ “นิมิตปริศนา” ที่ยังคงค้างคาอยู่ในความทรงจำ #ล้านวงโคจรTheSeries 🩺⏳#ReverseWithMeTheSeries สังกัด : SiamSi Studio นำแสดงโดย พิชชา พิชชาธร สันติธรกุล นัท นัทธมน โชคจินดาชัย ออกอากาศทุกวันพุธ เวลา 22:30 น. ทางช่อง 3HD รับชมย้อนหลัง เวลา 23:00 ทาง iQIYI,https://yflix.me/wp-content/uploads/2024/08/GV1FZ7Qa8AA5jd7-scaled.jpg,False
“DOCTOR’S MINE” หมอน่ารักคนนี้เป็นของผม,2024,,,,จากนิยายสู่ซีรีส์เรื่องราวความรักที่ วุ่นๆ ป่วนๆ แต่หวานฉ่ำๆ ของสองขั้วสุดต่างระหว่างนักศึกษาแพทย์ฯและวิศวะฯ จากจักรวาลเดียวกันกับ 2 นิยายสุดฮิต สู่ “DOCTOR’S MINE” หมอน่ารักคนนี้เป็นของผม เร็วๆ นี้ สังกัด : KONGTHUP PRODUCTION นำแสดงโดย กัน ฐนวัฒน์ และอาร์ม ชัยภัทร ท้อป สุเมธี และ คริสม่อน ธนวัฒน์ ม่อน เตชินท์ และ ภัค วรายุส์ #DoctorsMine #หมอน่ารักคนนี้เป็นของผม ติดตามความเคลื่อนไหวของ “DOCTOR’S MINE” หมอน่ารักคนนี้เป็นของผม จากเราได้ที่ https://yflix.me/series/doctors-mine/ เร็วๆ นี้,https://yflix.me/wp-content/uploads/2024/08/ปก.jpg,True
Mate The Series,2024,,,,เมื่อ ‘เพื่อนรัก’ คือ ‘ความลับของหัวใจ’ เกนหลงสาวสวย เพรียบพร้อมที่หมอดูทักว่าจะเจอเนื้อคู่เป็นผู้หญิง มันจะเป็นไปได้เหรอ กับ เอิงเอย เพื่อนรักของเกนหลงที่กลับเข้ามาในชีวิตอีกครั้ง กับความสัมพันธ์แบบเพื่อนรัก รักเพื่อน ที่ต้องเป็นความลับ… สังกัด : ZENSE Entertainment เร็วๆ นี้ #MateTheSeries #Mateเพื่อนรัก #เกนหลงเอิงเอย,https://yflix.me/wp-content/uploads/2024/08/450086199_122154478712165294_1171982171750560028_n.jpg,True
แค่ฝุ่น 2nd chance,2024,,,,ความรักในวัยเรียนเหมือนจุดเทียนกลางสายฝน… แต่ผมไม่สน ขอกลางร่มแล้วจุดเทียน ☔🕯️ สมองไหลไปพร้อมกันกับมินิซีรีย์ “แค่ฝุ่น 2nd chance” รับชม official trailer วันที่ 30 สิงหาคมนี้! รับชมได้ทุกช่องทางของ 1CAMERA Studio สังกัด : 1CAMERA Studio เร็วๆ นี้ #แค่ฝุ่น #แค่ฝุ่น2ndchance #2ndchance #2ndchancetheseries,https://yflix.me/wp-content/uploads/2024/08/ปก3.jpg,True
